scientific_name,latitude,longitude
Bactris gasipaes,-0.033,-76.7
Bactris gasipaes,-1.042,-76.886
Bactris gasipaes,-1.042,-76.886
Bactris gasipaes,-1.566,-80.666
Bactris gasipaes,-3.726135,-79.669708
Bactris gasipaes,-12.60448,-69.13715
Bactris gasipaes,3.267862,-73.913244
Bactris gasipaes,1.265405,-78.66301
Bactris gasipaes,0.891311,-78.506696
Bactris gasipaes,5.320454,-76.450156
Bactris gasipaes,5.320454,-76.450156
Bactris gasipaes,5.320454,-76.450156
Bactris gasipaes,5.320454,-76.450156
Bactris gasipaes,5.320454,-76.450156
Bactris gasipaes,5.328194,-76.451576
Bactris gasipaes,5.328194,-76.451576
Bactris gasipaes,-0.990343,-77.83755
Bactris gasipaes,-4.3283,-78.67
Bactris gasipaes,-4.3283,-78.67
Bactris gasipaes,-4.3158,-78.6656
Bactris gasipaes,-4.3158,-78.6656
Bactris gasipaes,-3.4528,-78.5514
Bactris gasipaes,-3.0387,-78.0964
Bactris gasipaes,-3.0387,-78.0964
Bactris gasipaes,-3.4525,-78.5811
Bactris gasipaes,-3.701419,-79.819431
Bactris gasipaes,-3.75,-78.6
Bactris gasipaes,-3.933333,-79.7333
Bactris gasipaes,-3.3375,-79.598611
Bactris gasipaes,-4.058531,-78.947793
Bactris gasipaes,-10.18333,-75.56666
Bactris gasipaes,-6.526333,-77.518611
Bactris gasipaes,0.13333,-77.45
Bactris gasipaes,-10.37666,-75.07166
Bactris gasipaes,-0.533333,-76.383333
Bactris gasipaes,-10.37666,-75.07166
Bactris gasipaes,-10.37666,-75.07166
Bactris gasipaes,6.723436,-71.749697
Bactris gasipaes,-1.690847,-80.805499
Bactris gasipaes,-3.337339,-79.718747
Bactris gasipaes,-0.915035,-77.797117
Bactris gasipaes,-10.18333,-75.56666
Bactris gasipaes,-0.6625,-76.66666
Bactris gasipaes,0.08333,-77.43333
Bactris gasipaes,-10.37666,-75.07166
Bactris gasipaes,-1.0425,-76.88638
Bactris gasipaes,-1.0425,-76.886389
Bactris gasipaes,4.930776,-76.367974
Bactris gasipaes,-2.15,-79.98333
Bactris gasipaes,0.76666,-78.9
Bactris gasipaes,-12.904155,-71.401125
Bactris gasipaes,0.500488,-76.322013
Bactris gasipaes,0.500488,-76.322013
Bactris gasipaes,0.500488,-76.322013
Bactris gasipaes,0.489333,-76.320977
Bactris gasipaes,0.489089,-76.321143
Bactris gasipaes,0.466225,-76.323211
Bactris gasipaes,0.466241,-76.323446
Bactris gasipaes,0.466742,-76.323339
Bactris gasipaes,0.475124,-76.323496
Bactris gasipaes,0.475124,-76.323496
Bactris gasipaes,0.474055,-76.328524
Bactris gasipaes,0.474055,-76.328524
Bactris gasipaes,0.48731,-76.321548
Bactris gasipaes,1.06464,-76.31986
Bactris gasipaes,5.958741,-75.107326
Bactris gasipaes,5.951503,-75.107597
Bactris gasipaes,5.95159,-75.107583
Bactris gasipaes,5.96065,-75.10726
Bactris gasipaes,6.012078,-75.096193
Bactris gasipaes,5.966189,-75.106297
Bactris gasipaes,5.958972,-75.107298
Bactris gasipaes,5.966677,-75.105989
Bactris gasipaes,5.96669,-75.106022
Bactris gasipaes,6.034976,-75.110531
Bactris gasipaes,6.035298,-75.110681
Bactris gasipaes,5.966663,-75.105992
Bactris gasipaes,5.966342,-75.106185
Bactris gasipaes,6.016954,-75.098588
Bactris gasipaes,5.956465,-75.107553
Bactris gasipaes,6.024698,-75.1064
Bactris gasipaes,5.995263,-75.098239
Bactris gasipaes,6.013912,-75.096963
Bactris gasipaes,6.01393,-75.097009
Bactris gasipaes,6.015543,-75.097886
Bactris gasipaes,5.942865,-75.107934
Bactris gasipaes,5.949342,-75.107308
Bactris gasipaes,5.940726,-75.111998
Bactris gasipaes,6.03763,-75.113433
Bactris gasipaes,5.951807,-75.107561
Bactris gasipaes,5.951708,-75.107622
Bactris gasipaes,5.951568,-75.107613
Bactris gasipaes,5.951896,-75.107544
Bactris gasipaes,5.95405,-75.107575
Bactris gasipaes,5.949835,-75.107359
Bactris gasipaes,6.018889,-75.099687
Bactris gasipaes,-0.75387,-77.468325
Bactris gasipaes,7.339053,-73.868545
Bactris gasipaes,7.386581,-73.865882
Bactris gasipaes,7.385693,-73.866361
Bactris gasipaes,7.385693,-73.866361
Bactris gasipaes,5.886739,-74.853078
Bactris gasipaes,4.5171,-75.9029
Bactris gasipaes,4.3474,-75.8041
Bactris gasipaes,5.952778,-76.764833
Bactris gasipaes,10.234453,-75.501422
Bactris gasipaes,0.067392,-78.945963
Bactris gasipaes,-0.858222,-91.017361
Bactris gasipaes,6.920987,-73.585747
Bactris gasipaes,6.997576,-73.538853
Bactris gasipaes,6.997576,-73.538853
Bactris gasipaes,6.997576,-73.538853
Bactris gasipaes,6.947213,-73.67714
Bactris gasipaes,6.947213,-73.67714
Bactris gasipaes,6.900863,-73.589975
Bactris gasipaes,7.024546,-73.651824
Bactris gasipaes,6.920987,-73.585747
Bactris gasipaes,6.920987,-73.585747
Bactris gasipaes,0.384139,-78.752728
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,4.878944,-73.240583
Bactris gasipaes,0.124909,-78.630222
Bactris gasipaes,-3.749512,-78.631278
Bactris gasipaes,5.659998,-74.181664
Bactris gasipaes,6.224564,-77.403439
Bactris gasipaes,-3.91667,-73.75
Bactris gasipaes,-0.40471,-79.905706
Bactris gasipaes,7.342833,-73.707375
